word,part of speech,definition,explanation,etymology (comma-separated)
Hosonkardeon,Noun,Tarjeta de Almacenamiento,,
Hosonofeon,Noun,Dispositivo de Almacenamiento,,
Hotuyeon,Noun,Preparación,,
Hotuyideon,Adjective,Preparativo,,
Hotuyirian,Verb,Preparar,,
Hoyadideon,Adjective,Dirigible,,
Hoyen,Preposition,Con dirección a,,
Hoyeon,Noun,Dirección,,
Hoyirian,Verb,Dirigir,,
Hoyofeon,Noun,"Timón, volante",,
Hsonsheon,Noun,Escarabajo,,
Humanamideon,Adjective,Filántropo,,
Humaneon,Noun,Humano,,
Humanideon,Adjective,"Humanitario, humano",,
Humanin,Adverb,Humanamente,,
Humanirian,Verb,Humanizar,,
Humanogeon,Noun,Humanismo,,
Humanogideon,Adjective,Humanista,,
Humansakateon,Noun,Artificialidad,,
Humansakeon,Noun,Artificio,,
Humansakfogeon,Noun,Fuegos artificiales,,
Humansakideon,Adjective,Artificial,,
Humanupeon,Noun,Humanidad,,
Hungareon,Noun,Hungría,,
Hungariomeon,Noun,Húngaro,,
Hungariopaon,Noun,Húngaro,,
Hut,Preposition,Casi,,
Hutideon,Adjective,"Aproximado, casi",,
Hutideon,Adjective,Casi,,
Hutin,Adverb,Casi,,
Ibeon,Noun,Futuro,,
Ibideon,Adjective,Futuro,,
Ibin,Adverb,Futuramente,,
Iblideon,Noun,Malvado,,
Ibogeon,Noun,Futurismo,,
Ibogideon,Adjective,Futurista,,
Ichonadeon,Noun,Dependencia,,
Ichonadideon,Adjective,Dependiente,,
Ichonadirian,Verb,Depender,,
Idegagdemaon,Noun,Sinvergüenza,,Agd
Idegagdideon,Adjective,Sinvergüenza,,Agd
Idegeon,Noun,"Descaro, atrevimiento",,
Idegideon,Adjective,"Descarado, atrevido",,
Idiomemeon,Noun,Modismo,,
Idiomeon,Noun,Idioma,,
Ifneon,Noun,Tarde,,
Ifnideon,Adjective,Vespertino,,
Ifnufaineon,Noun,Atardecer,,
Ifnufainirian,Verb,Atardecer,,
Ifnunamneon,Noun,Almuerzo,,
Ifnunamnirian,Verb,Almorzar,,
Igeon,Noun,Digital,,Ig
Ikampe,Adverb,"Sin embargo, no obstante",,
Ikataenadideon,Adjective,Identificable,,
Ikataeneon,Noun,Identificación,,
Ikataenirian,Verb,Identificar,,
Ikateon,Noun,Identidad,,
Ikateon,Noun,Identidad,,
Ikatofeon,Noun,Identificación,,
Ikatuborbateon,Noun,Suplantación de identidad,,
Ikatuborbatirian,Verb,Suplantar,,
Imageon,Noun,Imagen,,
Impakitirian,Verb,Impactar,,
Impakteon,Noun,Impacto,,
Impulsirian,Verb,Impulsar,,
In,Preposition,En (adentro),,
Inachmeon,Noun,"Inspiración, inhalación",,Achm
Inachmirian,Verb,"Inspirar, inhalar",,Achm
Inachmofeon,Noun,Inhalador,,Achm
Inaderideon,Adjective,Intravenoso,,
Inaeradiesludatseon,Noun,Juego inflable,,
Inaeririan,Verb,Inflar,,
Inaeririan,Verb,Inflar,,
Inaerofeon,Noun,"Bombín, inflador",,
Inamirideon,Adjective,Enamorado,,
Inangilahputeon,Noun,Categorización,,
Inangilahputirian,Verb,Categorizar,,
Inasnirian,Verb,Insertar,,
Inbageon,Noun,Embolsado,,
Inbagirian,Verb,Embolsar,,
Inbestigemaon,Noun,Investigador,,
Inbestigeon,Noun,Investigación,,
Inbestigirian,Verb,Investigar,,
Inbiteon,Noun,Invitación,,
Inbitiesemaon,Noun,Invitado,,
Inbitirian,Verb,Invitar,,
Incheon,Noun,Hinchazón,,
Inchirian,Verb,Hinchar,,
Inchuchatseon,Noun,Cementerio,,
Inchuchemaon,Noun,Enterrador,,
Inchucheon,Noun,Entierro,,
Inchuchirian,Verb,Enterrar,,
Indonesheon,Noun,Indonesia,,
Indoneshiomeon,Noun,Indonesio,,
Indoneshiopaon,Noun,Indonesio,,
Ineryaenideon,Adjective,Energético,,
Ineryaenirian,Verb,Energizar,,
Ineryideon,Adjective,Enérgico,,
Inflaskeon,Noun,"Embotellamiento, embotellado",,
Inflaskirian,Verb,Embotellar,,
Influigirian,Verb,"Inflar, hinchar",,
INGAB,Noun,"PIN, palabra clave, número secreto",,
INGABakleon,Noun,"Contraseña, palabra clave",,Bakl
INGABancheon,Noun,"Número secreto, PIN",,Banch
Ingasirian,Verb,"Hinchar, inflar",,
Ingasofeon,Noun,Inflador,,
Ingonalobubakleon,Noun,"Contraseña, palabra clave, clave",,"In,gon,alob,bakl"
Ingonalobubancheon,Noun,"PIN, número secreto",,"In,gon,alob,banch"
Ingonatseon,Noun,Entrada,,
Ingonirian,Verb,"Entrar, ingresar",,
Inhabeon,Noun,Contenido,,
Inhabirian,Verb,Contener,,
Inheon,Noun,Pulgada,,
Inideon,Adjective,"Interior, interno",,
Inin,Adverb,"Al interior, adentro",,
Inkadideon,Adjective,Imaginable,,
Inkeon,Noun,Imaginación,,
Inkideon,Adjective,Imaginario,,
Inkirian,Verb,Imaginar,,
Inkleneon,Noun,Inclinación,,
Inklenirian,Verb,Inclinar,,
Inlodareon,Noun,Empaquetado,,
Inlodaririan,Verb,Empaquetar,,
Inmabadideon,Adjective,Considerable,,
Inmaben,Conjunction,"Considerando que, teniendo en cuenta que",,
Inmabeon,Adjective,Consideración,,
Inmabirian,Verb,"Tener en cuenta, considerar, tener presente",,
Inmakirian,Verb,Tomar en cuenta,,
Inmiandirian,Verb,Mentalizar,,
Inosentaseon,Noun,Disculpa,,
Inosentasirian,Verb,Disculparse,,
Inosentasneon,Noun,"Absolución, perdón",,
Inosentasnideon,Adjective,Absolutorio,,
Inosentasnirian,Verb,"Absolver, perdonar",,
Inosenteon,Noun,Inocencia,,
Inosentideon,Adjective,Inocente,,
Inpaenideon,Adjective,Inspirador,,
Inpeon,Noun,Inspiración,,
Inpirian,Verb,Inspirar,,
Insatsarteon,Noun,Imprenta,,
Insatsatseon,Noun,Imprenta,,
Insatsemaon,Noun,Impresor,,
Insatseon,Noun,Impresión,,
Insatsiesemeon,Noun,Impresión,,
Insatsirian,Verb,Imprimir,,
Insatsofeon,Noun,Impresora,,
Inso,Conjunction,"Por lo tanto, por consiguiente",,
Insulalkeon,Noun,Islote,,
Insulemaon,Noun,Isleño,,
Insuleon,Noun,Isla,,
Insulideon,Adjective,"Insular, isleño",,
Insulupeon,Noun,Archipiélago,,
Intaubeon,Noun,Enferntamiento,,
Intaubirian,Verb,Enfrentar,,
Intenseon,Noun,Intensidad,,
Intensideon,Adjective,Intenso,,
Intensirian,Verb,Intensificar,,
Intenslampeon,Noun,Foco de luz,,
Intereseon,Noun,Interés,,
Interesideon,Adjective,Interesante,,
Interesirian,Verb,Interesar,,
Interesumideon,Adjective,Emocionante,,
Interneteon,Noun,Internet,,
Intrukekenseon,Noun,Programa,,"Intruk,ekens"
Intrukekensigeon,Noun,"Aplicación digital, programa digital",,"Intruk,ekens,ig"
Ipeon,Noun,Pasado,,
Ipideon,Adjective,Pasado,,
Ipileon,Noun,Pezón,,
Irakeon,Noun,Irak,,
Irakiopaon,Noun,Iraquí,,
Iraneon,Noun,Irán,,
Iraniopaon,Noun,Iraní,,
Ireon,Noun,Presente,,
Irianeon,Noun,Infinitivo,,
Irlandeon,Noun,Irlanda,,
Irlandiomeon,Noun,Irlandés,,
Irlandiopaon,Noun,Irlandés,,
Irmanaon,Noun,"Hermano, hermana",,
Irmanateon,Noun,"Hermandad, fraternidad",,
Irmanideon,Adjective,"Fraternal, fraterno",,
Irsomeon,Noun,"Tema, asunto, materia, cuestión",,
Isdayemaon,Noun,"Traidor, traicionero",,
Isdayeon,Noun,Traición,,
Isdayideon,Adjective,"Traidor, traicionero, pérfido",,
Isdayirian,Verb,Traicionar,,
Isglenbeabemeon,Noun,Vinagre,,Beab
Isgleneon,Noun,Acidez,,
Isglenideon,Adjective,"Ácido, agrio",,
Ishalkeon,Noun,Guijarro,,
Ishatseon,Noun,Cantera,,
Isheon,Noun,Piedra,,
Ishideon,Adjective,"Pétreo, de piedra",,
Ishuchageon,Noun,Peñasco,,
Ishucheon,Noun,Pedrada,,
Ishuchirian,Verb,Apedrear,,
Iskueletasningeon,Noun,Endeudamiento,,
Iskueletasnirian,Verb,Endeudar,,
Iskueletemaon,Noun,Deudor,,
Iskueleteon,Noun,Deuda,,
Iskueletirian,Verb,Deber,,
Israeleon,Noun,Israel,,
Israeliopaon,Noun,Israelí,,
Istokeon,Noun,Fuente,,
Italeon,Noun,Italia,,
Italiomeon,Noun,Italiano,,
Italiopaon,Noun,Italiano,,
Itayeon,Noun,Dolor,,
Itayideon,Adjective,Doloroso,,
Itayirian,Verb,Doler,,
Iteon,Noun,Bebé (animal),,
Itupeon,Noun,Descendencia (animal),,
Iuhemeon,Noun,Horrorosidad,,
Iuheon,Noun,Fealdad,,
Iuhideon,Adjective,Feo,,
Iuhumideon,Adjective,"Horroroso, horrible",,
Iyirian,Verb,Agacharse,,
Kabayataenirian,Verb,Enternecer,,
Kabayateon,Noun,Ternura,,
Kabayideon,Adjective,Tierno,,
Kadasnirian,Verb,Posibilitar,,
Kaden,Adverb,"Quizás, tal vez",,
Kadeon,Noun,Posibilidad,,
Kadideon,Adjective,"Posible, factible",,
Kadin,Adverb,"Quizás, tal vez, posiblemente",,
Kadirian,Verb,Poder,,
Kaen?,Pronoun,¿Quién?,,Kaen
Kaenstan?,Adverb,¿A quién?,,Kaen
Kafasnirian,Verb,Broncear,,
Kafekideon,Adjective,Pardo,,
Kafeon,Noun,"Café, marrón",,
Kafideon,Adjective,"Café, marrón",,
Kafratseon,Noun,Cafetería,,
Kafreon,Noun,Café,,
Kafronteon,Noun,Cafetera,,
Kakeon,Noun,Pasado,,
Kakideon,Adjective,Pasado,,
Kakshiseon,Noun,Cachondez,,
Kakshisideon,Adjective,Cachondo,,
Kakulseon,Noun,Ropa inferior,,
Kalasnirian,Verb,Calentar,,
Kaledaeneon,Noun,Calificación,,
Kaledaenideon,Adjective,Calificador,,
Kaledaenirian,Verb,Calificar,,
Kaledeon,Noun,"Calidad, cualidad",,
Kaledideon,Adjective,Cualitativo,,
Kalekasnirian,Verb,Entibiar,,
Kalekideon,Adjective,Tibio,,
Kaleteon,Noun,Galleta,,
Kalideon,Adjective,"Caliente, cálido",,
Kalkirian,Verb,Limar,,
Kalkofeon,Noun,Lima,,
Kalseon,Noun,Prenda parte inferior,,
Kalspernalkeon,Noun,Pantalón corto,,
Kalsperneon,Noun,Pantalón,,
Kalspidalkeon,Noun,Zapatilla,,
Kalspideon,Noun,"Zapato, calzado",,
Kaltasneon,Noun,"Enfriamiento, refrigeración",,
Kaltasnirian,Verb,"Enfriar, refrigerar",,
Kaltekeon,Noun,Frescura,,
Kaltekideon,Adjective,Fresco,,
Kalteon,Noun,"Frío, frialdad",,
Kaltideon,Adjective,Frío,,
Kaltin,Adverb,Fríamente,,
Kaltirian,Verb,Tener (hacer) frío,,
Kaltonteon,Noun,"Nevera, frigorífico",,
Kalumeon,Noun,Bochorno,,
Kalumideon,Adjective,Ardiente,,
Kamboyeon,Noun,Camboya,,
Kamboyiomeon,Noun,"Camboyano, Khmer",,
Kamboyiopaon,Noun,Camboyano,,
Kamirbideon,Adjective,Próximo,,
Kamirian,Verb,Venir,,
Kampambreon,Noun,Campesino,,
Kampeon,Noun,Campo,,
Kampideon,Adjective,Campestre,,
Kampuseon,Noun,Campus,,
Kanadeon,Noun,Canadá,,
Kanadiopaon,Noun,Canadiense,,
Kanaleon,Noun,Canal (vía),,
Kanalgonasneon,Noun,Canalización,,
Kanalgonasnirian,Verb,Canalizar,,
Kanatseon,Noun,Perrera,,
Kane,Pronoun,Quienquiera,,
Kaneleon,Noun,Canal de Discord,Informal,Kanel
Kanem,Pronoun,Quien,,
Kaneon,Noun,Perro,,
Kanideon,Adjective,Canino,,
Kaniteon,Noun,Cachorro,,
Kanupeon,Noun,Jauría,,
Kanyiyeon,Noun,Kanji,,
Kanyiyeon,Noun,Kanji,,
Kaon!,Interjection,¡Qué!,,
Kaosemeon,Noun,Cobertura,,
Kaosirian,Verb,"Cubrir, tapar",,
Kaosirideon,Noun,Cubierto,,
Kaosofeon,Noun,Tapa,,
Kapeon,Noun,Cabeza,,
Kapeteon,Noun,Alfombra,,
Kapiteon,Noun,Repollo,,Kapit
Kardeon,Noun,Tarjeta,,
Kardludeon,Noun,Juego de naipes,,
Karnideon,Adjective,Carnal,,
Karteon,Noun,"Carro, vagón, coche (tren)",,
Kartupeon,Noun,Tren,,
Kasahistaneon,Noun,Kazajistán,,
Kasahistaniomeon,Noun,Kazajo,,
Kasahistaniopaon,Noun,Kazajistano,,
Kasaor,Interjection,"Cállate, silencio, cierra la boca",,
Kaseon,Noun,Silencio,,
Kasideon,Adjective,"Silencioso, callado",,
Kasin,Adverb,Silenciosamente,,
Kasirian,Verb,"Guardar silencio, callar, silenciar",,
Katareon,Noun,"Catar, Qatar",,
Katariopaon,Noun,"Catarí, qatarí",,
Kateon,Noun,Gato,,
Kateyeon,Noun,Suposición,,
Kateyideon,Adjective,Supuesto,,
Kateyin,Adverb,Supuestamente,,
Kateyirian,Verb,Suponer,,
Katideon,Adjective,"Felino, gatuno",,
Katiteon,Noun,Minino,,
Kaul?,Pronoun,¿Cuál?,,Kaul
Kaum?,Pronoun,Cómo?,,
Kaunem,Interjection,Como sea (coloquial),,
Keanem,Pronoun,"Cualquiera, cualquiera que sea",,
Keanplatsin,Adverb,En cualquier lugar,,
Kechosupeon,Noun,Combinación,,
Kechosupirian,Verb,Combinar,,
Kechupeon,Noun,Ketchup,,
Kefomeon,Noun,"Comodidad, confort",,
Kefomideon,Adjective,"Cómodo, confortable",,
Kefomirian,Verb,Acomodar,,
Kel,Preposition,"Con, junto con",,
Keladgeon,Noun,Cooperación,,
Keladgirian,Verb,Cooperar,,
Kelaseon,Noun,Junta,,
Kelasirian,Verb,Juntarse,,
Kelbenseon,Noun,"Convencimiento, convicción",,
Kelbensideon,Adjective,Convincente,,
Kelbensirian,Verb,"Convencer, persuadir",,
Kelenkeon,Noun,Coexistencia,,
Kelenkirian,Verb,Coexistir,,
Keleon,Noun,"Unión, reunión, encuentro",,
Kelfluigatseon,Noun,Confluencia,,
Kelfluigirian,Verb,Confluir,,
Kelfuseon,Noun,Confusión,,
Kelfusideon,Adjective,Confuso,,
Kelfusirian,Verb,Confundir,,
Kelfusumirian,Verb,Consternar,,
Kelhabirian,Verb,Compartir,,
Kelin,Adverb,Juntos,,
Kelirian,Verb,"Juntar, unir, reunir(ml)",,
Kelkaen?,Pronoun,¿Con quién?,,"Kel,kaen"
Kelkulpemeon,Noun,Cómplice,,
Kelkulpeon,Noun,Complicidad,,
Kelsatseon,Noun,Conjunción,,
Kelsondingeon,Noun,Consonante,,
Kemeon,Noun,Cosa,,
Ken?,Pronoun,¿Qué?,,
Kengateon,Noun,Autoridad,,
Kengemaon,Noun,Autoridad,,
Kengemboloboedirian,Verb,Someterse,,
Kengideon,Adjective,Autoritario,,
Kengogeon,Noun,Autoritarismo,,
Kesanadideon,Adjective,Calculable,,
Kesaneon,Noun,Cálculo,,
Kesanirian,Verb,Calcular,,
Kesanofeon,Noun,Calculadora,,
Ketladideon,Adjective,"Sostenible, continuable",,
Ketleon,Noun,Continuación,,
Ketlideon,Adjective,Continuo,,
Ketlin,Adverb,Continuamente,,
Ketlirian,Verb,"Continuar, continuar siendo",,
Kich,Preposition,Cada,,
Kichhorin,Adverb,Cada hora,,
Kidalkaon,Noun,Bebé,,
Kidaon,Noun,Niño o niña,"Kidon es niño, kidan es niña",
Kidateon,Noun,Infancia,,
Kidatseon,Noun,Guardería,,
Kidideon,Adjective,Infantil,,
Kimfosin,Adverb,Cada vez,,
Kioskeon,Noun,Kiosko,,
Kiralkeon,Noun,Neblina (débil),,
Kireon,Noun,Neblina (espesa),,
Kirgistaneon,Noun,Kirguistán,,
Kirgistaniomeon,Noun,Kirguís,,
Kirgistaniopaon,Noun,Kirguís,,
Kirideon,Adjective,Neblinoso (espeso),,
Klakandeon,Noun,Ingeniero residente de obra,,
Klakartemaon,Noun,Arquitecto,,
Klakarteon,Noun,Arquitectura,,
Klakartideon,Adjective,Arquitectónico,,
Klakemaon,Noun,Constructor,,
Klakenasneon,Noun,Industrialización,,
Klakenasnirian,Verb,Industrializar,,
Klakeneon,Noun,Industria,,
Klakenideon,Adjective,Industrial,,
Klakenpasneon,Noun,País desarrollado,,
Klakestilemaon,Noun,Arquitecto,,
Klakestileon,Noun,Arquitectura,,
Klakestilideon,Adjective,Arquitectónico,,
Klakideon,Adjective,Constructivo,,
Klakiesemeon,Noun,Construcción,,
Klakiesemupeon ref,Conjunction,Arquitectura hecha por,,
Klakiesemuprefrefeon,Noun,Arquitectura,,
Klakiesfaumeon,Noun,Arquitectura,,
Klakiesfaumideon,Adjective,Arquitectónico,,
Klakirian,Verb,Construir,,
Klaseon,Noun,Clase,,
Klasingeon,Noun,Clasificación,,
Klasirian,Verb,Clasificar,,
Klineon,Noun,Limpieza,,
Klinideon,Adjective,Limpio,,
Klinin,Adverb,Limpiamente,,
Klinirian,Verb,Limpiar,,
Kloseon,Noun,Cierre,,
Klosideon,Adjective,Cerrado,,
Klosirian,Verb,Cerrar,,
Klosofeon,Noun,"Cerradura, cierre",,
Kobutsakbeon,Noun,Agua mineral,,
Kobutseon,Noun,Mineral,,
Kobutserneon,Noun,Mineralogía,,
Kobutsideon,Adjective,Mineral,,
Kofemeon,Noun,Constante,,
Kofeon,Noun,Constancia,,
Kofideon,Adjective,Constante,,
Kofin,Adverb,Constantemente,,
Kofreon,Noun,Cofre,,
Koheon,Noun,Agarre,,
Kohirian,Verb,"Agarrar, coger, tomar",,
Kohofeon,Noun,Tenazas,,
Kokoramikaon,Noun,"Novio, Novia",,
Kokoreon,Noun,Corazón,,
Kokorideon,Adjective,Cordial,,
Kokorin,Adverb,Cordialmente,,
Kolombeon,Noun,Colombia,,
Kolombiopaon,Noun,Colombiano,,
Kolpeon,Noun,Golpe,,
Kolpirian,Verb,"Golpear, pegar",,
Komandatseon,Noun,Puente (puesto de comandos),,
Komandemaon,Noun,Comandante,,
Komandeon,Noun,Comando,,
Komandirian,Verb,Comandar,,
Komemeon,Noun,"Algo en común, algo común",,"Kom,em"
Komensasnirian,Verb,Empezar,,
Komensemeon,Noun,Principiante,,
Komenseon,Noun,Comienzo,,
Komensin,Adverb,Al comienzo,,
Komensirian,Verb,"Comenzar, empezar",,
Komensutirian,Verb,Comenzar mal (pie),,
Komeon,Noun,Comunión,,
Komideon,Adjective,Común,,
Komin,Adverb,Comúnmente,,
Komputagakemaon,Noun,Informático,,
Komputagakeon,Noun,Informática,,
Komputagakideon,Adjective,Informático,,
Komputideon,Adjective,Computacional,,
Komputirian,Verb,Computar,,
Komputofeon,Noun,Computador,,
Komumanupaon,Noun,Comunidad,,"Kom,man"
Komumanupideon,Adjective,Comunitario,,"Kom,man"
Komunandaon,Noun,Alcalde comunal,,
Komuneon,Noun,Comuna,,
Komunideon,Adjective,Comunal,,
Komunikemeon,Noun,Comunicado,,
Komunikeon,Noun,Comunicación,,
Komunikirian,Verb,Comunicar,,
Komunikiulideon,Adjective,Comunicativo,,
Komunikofeon,Noun,Medio de comunicación,,
Komunyereon,Noun,Municipalidad comunal,,
Komunyerideon,Adjective,Municipal,,
Komunyogenemaon,Noun,Concejal,,
Kondomineon,Noun,Condominio,,
Koneon,Noun,"Carrera, corrida",,
Konfeon,Noun,Confirmación,,
Konfirian,Verb,Confirmar,,
Konfitatseon,Noun,Confesionario,,
Konfiteon,Noun,Confesión,,
Konfitirian,Verb,Confesar,,
Kongurideon,Adjective,A juego,,
Konideon,Adjective,Corredor,,
Konirian,Verb,Correr,,
Konserteon,Noun,Concierto,,
Kopeon,Noun,Copa,,
Kordeon,Noun,Cordón,,
Kordirian,Verb,Enlazar,,
Koreyeon,Noun,Corea,,
Koreyideon,Adjective,Coreano,,
Koreyiomeon,Noun,Coreano,,
Koreyiopaon,Noun,Coreano,,
Kos,Conjunction,Si,,
Kos kadin,Adverb,De ser posible,,
Kos nek,Conjunction,De lo contrario,,
Kosinaon,Noun,"Primo, prima",,
Kosorir,Conjunction,Ya sea,,
Kostarikeon,Noun,Costa Rica,,
Kostarikiopaon,Noun,"Costarricense, tico",,
Kostumeon,Noun,Disfraz,,
Kostumimalsirian,Verb,Disfrazar,,
Koteon,Noun,Abrigo,,
Kredadeon,Adjective,Credibilidad,,
Kredadideon,Adjective,Creíble,,
Kredemeon,Noun,Creyente,,
Kredeon,Noun,Creencia,,
Krederbideon,Adjective,Fidedigno,,
Kredingideon,Adjective,Creyente,,
Kredirian,Verb,Creer,,
Krediuleon,Noun,Credulidad,,
Krediulideon,Adjective,Crédulo,,
Kremeon,Noun,Crema,,
Kremideon,Adjective,Cremoso,,
Kreskeon,Noun,Crecimiento,,
Kreskideon,Adjective,Creciente,,
Kreskirian,Verb,Crecer,,
Krion?,Pronoun,¿Cuándo?,,
Kristaleon,Noun,Cristal,,
Kristalingeon,Noun,Cristalización,,
Kristalirian,Verb,Cristalizar,,
Kroaseon,Noun,Croacia,,
Kroasiomeon,Noun,Croata,,
Kroasiopaon,Noun,Croata,,
Kronem,Adverb,"En algún momento, alguna vez",,
Kronemin,Adverb,"En algún momento, alguna vez",,
Kroneon,Noun,Tiempo,,
Kronfinistreon,Noun,Período de tiempo,,
Kronlafeon,Noun,Artículo,,
Kronotreon,Noun,Cronómetro,,
Krontuti,Adverb,Siempre,,"Kron,tut"
Krontutin,Adverb,Siempre,,"Kron,tut"
Kronunem,Adverb,Nunca,,"Kron,nem"
Kronunemin,Adverb,Nunca,,"Kron,nem"
Krosboyeon,Noun,"Vía Transversal, travesía",,
Krosideon,Adjective,Transversal,,
Kua,Pronoun,Que,,
Kuar,Adjective,Cuatro,,
Kuarake,Noun,Cuarto,,
Kuaran,Adjective,Cuarto,,
Kuarmonateon,Noun,Abril,,
Kuarulteon,Noun,Cuádruple,,
Kuarultideon,Adjective,Cuádruple,,
Kuarultirian,Verb,Cuadruplicar,,
Kubaiteon,Noun,Kuwait,,
Kubaitiopaon,Noun,Kuwaití,,
Kubayeon,Noun,Cuba,,
Kubayiopaon,Noun,Cubano,,
Kubeon,Noun,Cubo,,
Kubideon,Adjective,Cúbico,,
Kueleon,Noun,Manantial,Lugar de donde sale agua subterránea,Kuel
Kufalseon,Noun,Accesorio para la cara,,
Kuhalkeon,Noun,Cupcake,,
Kuhatseon,Noun,"Pastelería, confitería",,
Kuheon,Noun,"Pastel, tarta, torta",,
Kuhuratseon,Noun,Pastelería,,
Kuinarteon,Noun,"Arte Culinario, Gastronomía",,
Kuinartideon,Adjective,"Culinario, gastronómico",,
Kuinatseon,Noun,Cocina,,
Kuinemaon,Noun,Cocinero,,
Kuinfurnaseon,Noun,Cocina (equipo),,
Kuinideon,Adjective,Culinario,,
Kuiniesemeon,Noun,"Plato, guiso",,
Kuiningeon,Noun,Cocción,,
Kuinirian,Verb,Cocinar,,
Kulpadeon,Noun,Culpabilidad,,
Kulpadideon,Adjective,Culpable,,
Kulpasneon,Noun,Acusación,,
Kulpasnideon,Adjective,Acusatorio,,
Kulpasnirian,Verb,Acusar,,
Kulpemeon,Noun,Culpable,,
Kulperbideon,Adjective,Culpable,,
Kulpirian,Verb,Culpar,,
Kupeon,Noun,Copa,,
Labeon,Noun,Lava,,
Laborageon,Noun,Trabajo duro,,
Laborasnideon,Adjective,Trabajoso,,
Laboratseon,Noun,Taller (lugar de trabajo),,
Labordiyeon,Noun,Día laborable,,
Laboremaon,Noun,"Obrero, trabajador",,
Laboremeon,Noun,Obra,,
Laborideon,Adjective,Laboral,,
Laborin,Adverb,Laboralmente,,
Laboririan,Verb,Trabajar,,
Laboriuleon,Noun,Trabajólico,,
Laboriulideon,Adjective,Trabajador,,
Laborofeon,Noun,Herramienta (trabajo),,
Laborumideon,Adjective,Arduo (trabajo),,
Lachbiyeon,Noun,Letonia,,
Lachbiyiomeon,Noun,Letón,,
Lachbiyiopaon,Noun,Letón,,
Lachineon,Noun,Halcón,,
Laheon,Noun,Préstamo,,
Lahirian,Verb,Prestar,,
Lahokanemaon,Noun,Prestamista,,
Lahokaneon,Noun,Préstamo,,
Lahtekirian,Noun,Tomar prestado,,
Laineon,Noun,Onda,,
Lainideon,Adjective,Ondular,,
Lainirian,Verb,Ondular,,
Lair,Conjunction,Ni,,
Lak,Conjunction,Como,,
Lakem,Adverb,Como sea,,
Lakos,Conjunction,Como si,,
Lakosbrelasteon,Noun,Quásar,,
Laktemeon,Noun,Lácteo (producto),,"Lakt,em"
Lakteon,Noun,Leche,,Lakt
Laktideon,Noun,Lácteo,,Lakt
Laktsuikereon,Noun,Lactosa,,"Lakt,suiker"
Laktubarsideon,Adjective,Lácteo,,"Lakt,bars"
Lameon,Noun,Llama (animal),,
Lampeon,Noun,Lámpara,,
Lan,Noun,Mujer,,
Landeon,Noun,Terreno,,
Langbrekofeon,Noun,Trabalenguas,,
Langeon,Noun,Lengua,,
Langideon,Adjective,Lingual,,
Lanteon,Noun,Linterna,,
Laoseon,Noun,Laos,,
Laosiomeon,Noun,Lao,,
Laosiopaon,Noun,Laosiano,,
Larmasneon,Noun,Normalización,,
Larmasnirian,Verb,Normalizar,,
Larmeon,Noun,Normalidad,,
Larmideon,Adjective,Normal,,
Laseon,Noun,"Cansancio, fatiga",,
Lasertalkeon,Noun,Lagartija,,
Laserteon,Noun,Lagarto,,
Lasideon,Adjective,"Cansado, fatigado",,
Lasirian,Verb,"Cansar, fatigar",,
Lastasnirian,Verb,Continuar,,
Lastebilalkeon,Noun,"Camioneta, furgoneta",,
Lastebilemaon,Noun,Camionero,,
Lastebileon,Noun,Camión,,
Lasteon,Noun,Duración,,
Lastideon,Adjective,Duradero,,
Lastirian,Verb,Durar,,
Lasumideon,Adjective,Agotado,,
Latinamerikeon,Noun,"Latino américa, latinoamérica",,"Latin,amerik"
Latinamerikideon,Noun,"Latinoamericano, latino",,"Latin,amerik"
Latinamerikiopaon,Noun,"Latinoamericano, latino",,"latin,amerik"
Latinhispaniomeon,Noun,Español Latino,,"Latin,hispan"
Latiniomeon,,Latín,Idioma,Latin
Layatseon,Noun,Blasfemia,,
Layatsirian,Verb,"Blasfemar, jurar",,
Lebaneon,Noun,Líbano,,
Lebaniopaon,Noun,Libanés,,
Lebedeon,Noun,Cisne,,
Legingeon,Noun,Legging,,
Lenbadeon,Noun,Habitabilidad,,
Lenbadideon,Adjective,Habitable,,
Lenbatseon,Noun,"Apartamento, vivienda, alojamiento, casa, domicilio",,
Lenbirian,Verb,"Habitar, residir, vivir (en), alojar",,
Lengeon,Noun,Brazo,,
Lenirian,Verb,Apoyarse,,
Lenofeon,Noun,"Respaldo, apoyo",,
Lenseon,Noun,Lente,,
Lerbin,Adverb,"Apenas, con suerte",,
Lernasnirian,Noun,"Enseñar, instruir",,
Lernatsandaon,Noun,Director,,
Lernatseon,Noun,Escuela,,
Lernatsideon,Adjective,Escolar,,
Lernemaon,Noun,"Estudiante, alumno",,
Lerneon,Noun,"Aprendizaje, estudio",,
Lernirian,Verb,"Aprender, estudiar",,
Letsideon,Adjective,Último,,
Letsin,Adverb,"Últimamente, por último",,
Letskronideon,Adjective,Reciente,,
Letskronin,Adverb,Recientemente,,
Leyaenemaon,Noun,Legislador,,
Leyaenideon,Adjective,"Legislador, legislativo",,
Leyaenirian,Verb,Legislar,,
Leyasneon,Noun,Legalización,,
Leyasnirian,Verb,Legalizar,,
Leyateon,Noun,Legalidad,,
Leyemaon,Noun,Jurista,,
Leyeon,Noun,Ley,,
Leyideon,Adjective,Legal,,
Leyupeon,Noun,"Legislación, ley",,
Liasachirian,Verb,Acostarse,,
Lideon,Noun,Adjetivo,,
Liekemaon,Noun,"Doctor, médico",,
